사고유형,심판원,발생연도,야간,선종,총톤수,업무정지_개월,제재_건수,원인_단계수
해양오염,부산,2025,False,유조선,35.0,1,1,3
인명사상,부산,2025,False,어선,36.0,2,1,2
충돌,동해,2025,False,청항선,85.0,3,2,2
충돌,동해,2024,True,어선,23.0,2,2,2
인명사상,인천,2022,False,어선,9.77,1,1,2
접촉,인천,2024,False,예인선,220.0,2,2,3
화재·폭발,인천,2023,False,어선,9.77,0,1,2
충돌,인천,2024,True,어선,29.0,0,2,3
충돌,부산,2025,False,화물선,9944.0,1,2,2
인명사상,동해,2025,False,어선,4.57,2,1,4
침몰,중앙,2017,False,화물선,148431.0,0,1,3
충돌,부산,2025,False,어선,3.0,2,2,2
충돌,부산,2024,True,어선,9.77,2,2,2
전복,중앙,2014,False,여객선,6825.0,30,10,4
충돌,부산,2025,False,유선,113.0,3,2,2
충돌,부산,2024,True,어선,29.0,3,2,2
좌초,인천,2024,False,어선,8.55,1,1,3
인명사상,인천,2023,True,어선,13.0,1,1,2
인명사상,인천,2023,False,어선,9.77,1,1,2
전복,인천,2023,False,수상레저기구,0.73,0,0,3
인명사상,인천,2023,False,어선,,0,0,1
인명사상,인천,2023,True,어선,21.0,2,2,2
충돌,인천,2023,False,화물선,8242.0,0,0,2
충돌,인천,2022,False,어선,7.93,1,2,3
인명사상,미상,2022,False,어선,8.55,1,2,2
화재·폭발,미상,2024,True,어선,6.5,2,1,2
접촉,미상,2024,False,예인선,220.0,2,2,3
인명사상,동해,2024,True,어선,29.0,1,1,3
인명사상,동해,2025,False,예인선,194.95,2,1,2
충돌,중앙,2024,False,어선,69.0,0,2,2
인명사상,중앙,2024,True,화물선,5642.0,0,0,2
전복,중앙,2023,True,부선,423.0,1,2,4
충돌,중앙,2024,True,어선,33.0,0,0,2
접촉,중앙,2024,True,유조선,890.0,1,1,2
충돌,중앙,2024,True,화물선,248.0,1,2,2
전복,중앙,2024,True,어선,21.0,1,1,3
충돌,중앙,2023,True,어선,9.77,0,2,3
전복,중앙,2024,True,어선,139.0,0,1,3
인명사상,동해,2024,False,어선,93.0,2,1,4
침몰,동해,2023,False,예인선,70.0,2,1,3
인명사상,동해,2024,True,어선,9.77,1,1,2
충돌,동해,2024,True,어선,9.77,2,2,2
좌초,동해,2022,True,어선,29.0,0,1,2
인명사상,동해,2024,True,어선,53.0,1,1,2
화재·폭발,동해,2024,False,어선,9.77,1,1,3
충돌,동해,2024,True,어선,89.0,2,2,2
인명사상,동해,2024,False,어선,2.47,0,1,3
